language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
cmn,0,1,4,0,1,2,1,5,1,0,6,1,0,2,6,2,0,1,0,1,5,6,0,1,6,0,0,3,2,2,1,5,1,3,1,2,5,3,2,2,6,5,3,1,2,7,2,3,1,2,0,0,0,0,2,1,5,3,1,0,0,2,2,2,1,5,6,3,0,0,1,7,5,1,0,1,0,2,4,5,0,1,2,0,1,6,6,2,6,2,6,1,1,2,5,2,6,3,5,6,5,5,5,1,2,0,0,6,1,1,3,0,5,2,2,5,1,0,0,0,6,2,2,3,6,2,1,5,3,1,1,2,5,2,1,5,4,3,0,0,2,0,5,5,0,1,2,1,6,2,4,1,2,5,6,1,2,4,1,4,2,0,5,0,0,1,2,2,5,5,3,5,0,2,6,2,2,2,2,0,1,6,0,0,5,1,2,0,1,2,5,4,0,2,7,6,3,6,2,5,1,1,3,1,0,1,6,0,1,4,5,0,3,5,1,5,2,3,3,2,5,5,0,0,2,1,1,6,1,2,1,2,0,1,0,6,2,0,1,6,2,2,0,5,2,2,2,2,5,5,4,1,2,5,6,1,3,1,1,6,1,5,6,1,1,0,7,1,3,5,2,6,3,1,2,0,6,0,4,6,2,0,1,2,3,3,2,2,2,1,6,1,2,4,0,1,0,2,7,6,2,4,0,2,5,6,2,5,5,6,0,1,1
cpu,0,20,15,6,15,12,21,20,17,8,17,17,4,9,21,16,0,17,0,16,16,22,7,17,22,0,0,12,12,18,0,16,4,8,13,10,14,9,12,7,22,16,12,17,0,23,14,13,16,11,7,0,0,0,13,17,17,20,18,0,0,13,15,19,21,17,17,14,0,0,20,20,20,15,0,12,6,0,10,16,14,15,0,0,0,17,15,17,0,1,22,16,15,18,14,0,21,12,22,17,17,17,6,3,11,0,14,17,20,3,16,0,15,16,3,15,14,1,17,3,18,7,13,8,23,11,14,17,7,21,19,0,15,18,22,11,13,0,0,11,0,0,16,17,16,19,1,13,22,0,15,22,14,16,13,12,0,19,17,20,17,0,21,0,0,16,11,0,20,19,12,7,0,13,18,14,14,13,17,12,15,12,1,0,17,20,20,2,18,10,15,13,0,17,19,22,13,20,0,18,18,0,16,18,0,20,15,0,17,12,15,0,12,14,3,17,5,0,0,9,21,22,14,0,0,12,15,17,0,13,14,11,0,16,5,18,13,0,18,24,8,16,0,16,5,17,16,17,15,0,0,0,0,16,17,11,13,16,5,22,17,16,18,19,22,0,0,20,14,18,12,0,15,17,13,0,23,17,9,23,0,0,0,15,4,13,0,4,0,14,21,17,0,17,0,0,0,0,20,21,9,11,3,11,20,17,0,22,21,18,0,0,20
dgi,0,13,13,5,10,9,15,14,15,0,15,16,0,0,15,13,4,11,0,14,14,16,5,11,16,3,5,6,10,12,12,13,0,6,10,7,12,8,11,6,16,14,10,12,5,16,12,11,14,9,3,2,0,2,8,15,6,15,13,2,4,11,14,13,15,15,15,11,3,0,14,14,14,13,3,10,0,0,6,14,12,13,10,0,0,15,13,15,8,10,16,14,13,12,13,3,14,0,15,15,15,15,8,2,9,0,12,15,14,0,11,3,13,0,0,0,12,0,15,0,16,0,11,0,16,9,12,12,4,15,12,4,13,12,16,10,11,7,0,9,3,0,14,11,14,13,9,11,16,12,13,15,8,14,0,4,5,13,15,14,12,0,15,3,1,14,8,5,13,13,11,14,4,11,16,13,12,7,6,10,13,0,0,1,15,14,14,1,16,0,13,11,1,10,17,15,11,15,0,16,15,0,11,12,0,14,7,0,9,11,12,0,6,10,2,15,0,11,8,0,14,16,13,0,0,4,13,15,2,11,4,6,0,13,4,14,9,0,16,17,5,14,0,14,3,8,10,11,13,0,5,0,10,14,15,8,11,13,0,16,11,14,16,13,16,0,16,14,12,12,4,13,13,11,11,0,16,11,0,17,6,0,0,8,12,11,13,10,0,12,15,14,3,12,0,3,0,6,14,7,0,0,2,9,14,15,12,15,15,12,11,0,13
drw,0,1,4,0,1,2,1,5,1,0,5,1,0,2,6,2,0,1,0,1,5,6,0,5,1,0,0,3,2,2,1,5,1,3,1,2,5,3,4,2,6,5,3,1,2,6,4,3,1,2,0,0,0,0,2,1,5,3,1,0,0,2,2,4,1,5,6,3,0,0,6,1,5,1,0,1,0,2,4,6,0,1,2,0,1,6,6,2,7,2,6,5,1,2,5,2,6,3,5,6,5,5,5,1,2,0,0,5,1,1,3,0,5,2,2,3,1,0,0,0,6,2,2,3,5,2,1,5,3,1,1,2,5,2,6,5,4,3,0,0,2,0,5,5,0,1,2,1,1,2,4,6,2,5,6,1,2,1,1,4,2,0,5,0,0,1,2,2,5,5,3,6,0,2,5,2,2,2,2,0,1,6,0,0,5,1,2,0,6,2,5,4,0,2,6,6,3,6,2,6,1,1,3,1,0,1,6,0,1,4,5,0,3,5,1,5,2,3,3,2,5,6,0,0,2,1,1,5,1,2,1,2,0,1,0,2,2,0,1,7,2,2,0,5,2,2,2,2,5,5,4,1,2,5,1,1,3,1,1,6,1,5,6,1,1,0,7,1,4,5,2,6,3,1,2,0,6,0,4,7,2,0,1,2,3,3,4,2,2,1,6,1,2,4,0,1,0,2,6,6,2,0,0,2,5,6,2,6,5,6,0,1,1
dvy,0,3,2,0,3,1,5,3,3,0,2,3,0,3,4,4,0,3,0,3,2,5,0,2,3,1,3,4,4,3,4,3,1,1,3,0,1,2,3,1,2,2,2,3,2,3,1,0,3,1,0,0,0,1,1,3,1,2,3,0,0,1,3,1,3,2,3,1,0,0,3,3,1,3,0,3,0,2,2,2,2,2,3,0,1,3,2,4,2,4,2,3,4,3,1,2,5,2,2,3,2,2,0,1,1,0,3,2,3,0,4,0,2,3,1,4,3,0,5,0,2,2,3,4,2,4,3,1,0,3,3,3,3,1,3,4,1,0,0,3,1,0,2,3,5,3,3,1,3,4,1,3,2,1,4,2,2,3,3,1,4,1,1,0,0,3,1,1,2,2,2,2,0,3,2,3,5,4,1,0,2,4,0,0,2,1,1,0,3,2,2,2,0,4,2,2,2,3,2,2,3,1,1,3,0,3,3,0,3,2,3,0,4,4,1,2,0,5,2,2,2,2,2,0,4,3,3,2,1,4,2,4,0,3,0,4,3,0,5,4,2,4,0,2,2,3,3,3,3,2,3,1,5,3,5,5,5,3,0,5,2,2,5,3,3,0,4,5,1,2,0,5,1,3,3,0,3,2,3,2,1,0,1,1,2,5,2,2,0,5,5,4,2,1,0,1,0,4,4,4,3,2,0,3,2,2,3,2,2,5,3,1,3
efn,0,4,3,0,2,1,4,1,4,0,3,4,3,2,3,5,0,4,0,4,3,4,0,1,4,1,4,5,2,4,1,1,1,1,4,0,3,2,2,4,3,3,5,4,2,2,1,0,4,1,2,0,0,0,1,4,3,5,4,0,0,3,4,3,4,3,4,1,0,0,4,4,3,4,0,1,0,2,1,3,0,3,4,0,1,2,3,1,5,5,3,4,2,4,4,2,4,5,3,4,3,3,0,1,3,0,4,3,4,0,2,0,3,4,1,2,4,0,4,0,3,2,4,5,3,5,4,3,0,4,4,2,4,4,4,3,1,0,0,2,1,0,3,4,4,4,0,3,4,3,1,4,2,3,5,3,2,1,4,1,2,1,3,1,0,4,1,1,3,3,2,3,0,4,3,1,4,5,1,3,3,5,0,0,3,3,4,0,4,2,3,3,0,2,3,3,2,4,2,3,4,1,1,4,0,4,4,0,1,2,4,0,5,0,1,3,0,2,2,3,3,3,3,0,1,2,4,3,1,5,3,5,0,4,0,1,4,2,4,3,2,5,0,3,2,4,3,4,1,2,2,1,3,1,4,3,2,4,0,4,3,3,1,4,4,0,5,4,1,1,0,2,1,4,4,0,4,3,3,3,3,0,1,1,1,2,3,3,0,4,4,3,2,1,0,1,0,5,3,3,4,3,0,2,3,3,2,3,3,4,4,1,4
fsv,0,8,9,4,7,8,10,6,10,0,9,11,6,0,9,9,0,8,0,8,9,11,3,8,11,0,6,9,7,5,8,8,0,0,5,4,9,5,7,5,10,9,0,10,0,10,8,8,9,5,5,0,0,2,6,10,9,10,8,0,3,7,9,7,10,10,11,6,1,0,9,10,11,9,0,6,3,6,9,9,5,8,7,0,0,10,9,9,11,8,11,8,8,7,8,6,9,9,10,11,10,9,7,6,6,0,8,9,9,2,6,2,9,7,0,10,8,0,9,0,11,4,8,0,11,7,8,11,4,10,8,7,8,8,11,6,7,5,0,7,0,0,10,8,9,7,6,7,11,10,9,9,3,9,10,7,4,9,10,9,7,6,8,0,1,9,5,4,8,8,8,10,1,6,11,5,9,9,6,7,8,10,0,0,8,9,8,0,10,7,8,7,1,9,12,11,6,10,0,11,10,5,8,5,0,9,10,0,7,8,8,2,0,8,2,9,4,6,6,0,10,11,6,0,0,7,8,9,2,0,7,8,0,9,1,10,6,0,11,12,0,10,0,9,4,0,0,7,8,0,5,0,8,10,9,0,9,7,3,11,7,9,9,8,10,0,12,9,8,8,7,11,9,7,7,0,11,4,5,10,5,3,0,7,8,9,8,0,0,6,11,10,4,7,0,3,0,0,11,11,7,0,5,6,8,10,6,11,10,7,7,0,9
gny,0,6,6,0,6,7,8,8,7,4,8,8,0,5,8,7,0,6,3,7,7,8,3,7,8,0,0,0,5,5,7,7,0,4,5,6,7,0,6,5,8,7,7,7,0,9,7,6,7,4,0,0,0,2,5,7,8,7,7,3,2,5,8,6,7,7,8,5,0,0,8,9,8,6,2,5,0,4,7,8,0,5,6,0,0,8,7,7,10,7,8,7,7,6,6,5,8,8,7,8,7,7,1,5,5,0,6,8,6,0,0,0,8,0,0,7,7,0,8,2,8,0,7,0,8,6,7,8,4,7,6,6,7,6,8,8,6,0,0,5,0,0,7,7,8,6,5,6,8,7,6,8,5,7,7,6,4,6,7,6,6,4,7,0,1,8,4,0,7,7,7,9,1,8,8,7,8,0,8,6,6,8,0,0,7,6,7,0,8,6,7,6,1,7,9,8,8,8,0,8,7,0,7,7,0,8,9,0,6,7,7,0,8,7,5,8,3,6,5,5,7,8,10,3,5,6,7,8,2,7,5,7,0,7,2,8,5,0,8,9,4,8,0,8,4,6,6,6,7,0,5,0,7,7,8,6,6,6,0,8,5,7,8,6,8,0,10,8,6,7,5,9,7,6,6,0,8,6,0,9,4,0,0,5,6,7,6,6,4,8,8,8,3,6,0,3,0,0,8,9,6,0,4,5,7,8,8,8,7,9,6,0,7
huw,0,10,11,2,8,5,12,11,11,0,11,12,7,7,11,10,3,6,5,11,11,13,4,10,13,2,8,10,9,9,11,10,0,5,8,4,11,0,9,5,13,10,9,13,0,12,11,10,11,6,6,2,0,2,7,11,12,12,10,4,0,9,10,10,11,12,13,8,0,0,11,11,6,11,0,7,0,7,6,10,3,10,9,0,0,11,12,12,14,9,12,10,5,10,11,7,12,10,11,12,12,11,10,8,8,0,9,12,11,0,7,0,11,9,0,11,10,0,12,0,12,0,10,0,12,0,9,13,5,11,10,4,10,10,13,0,5,6,0,8,5,0,12,9,11,11,1,10,12,11,11,13,7,10,12,9,0,10,12,11,10,0,12,2,1,11,7,0,10,11,10,12,3,9,13,8,10,11,9,4,9,0,3,1,11,11,10,1,12,9,9,9,1,0,13,13,0,12,0,12,11,6,9,8,0,12,12,0,10,10,10,0,9,11,7,6,0,9,9,0,11,12,12,4,0,10,11,11,2,9,4,9,0,11,1,12,0,0,13,13,0,11,0,11,3,10,8,9,11,9,5,0,9,12,11,7,10,9,4,12,9,10,12,9,12,0,13,10,11,10,10,7,11,8,9,2,12,7,6,14,7,0,0,9,10,10,10,8,5,10,12,12,5,10,0,3,0,9,13,13,0,7,6,7,10,11,5,13,11,11,10,0,11
imr,0,7,7,0,7,8,9,6,8,0,10,9,0,0,10,8,0,8,0,9,8,9,3,9,9,0,6,8,7,7,8,8,0,0,5,4,8,5,7,5,9,8,0,8,0,10,9,7,8,5,4,0,0,2,6,9,10,8,8,0,3,6,9,8,8,8,9,7,1,0,9,10,10,8,0,6,0,5,8,9,6,7,7,0,0,9,10,8,12,8,9,9,9,8,9,6,10,9,8,9,8,8,7,6,6,0,7,10,8,2,6,2,9,7,0,9,8,0,10,0,9,4,8,0,10,7,8,9,4,8,7,7,9,7,9,6,8,4,0,6,0,0,8,8,9,8,7,8,9,9,8,10,3,8,8,7,4,7,8,7,8,0,9,0,1,10,5,4,9,8,8,10,2,6,9,5,9,9,6,7,7,0,0,0,9,7,9,0,9,7,8,7,1,8,10,9,6,9,0,9,8,5,4,5,0,9,11,0,8,8,8,2,0,8,2,10,4,6,6,0,8,10,6,0,0,8,8,9,2,0,8,0,0,8,1,10,6,0,9,10,0,9,0,10,4,7,0,7,9,6,5,2,8,8,9,0,8,7,3,9,7,8,10,7,9,0,11,9,7,8,8,10,8,7,7,0,9,4,5,11,5,3,0,6,7,9,7,0,0,6,9,9,4,7,0,3,0,0,10,10,0,6,5,6,9,9,9,10,8,7,7,0,5
irw,0,2,2,1,1,3,2,1,2,0,1,2,2,2,1,3,0,2,0,2,1,2,0,1,2,1,2,2,2,1,3,2,1,2,2,3,2,2,2,3,1,1,4,2,3,1,1,2,2,1,0,0,0,0,3,2,2,4,2,0,0,1,1,1,2,1,2,1,0,0,2,2,2,2,0,2,0,2,1,1,0,1,2,0,1,1,1,3,4,3,1,2,3,1,3,2,2,4,1,2,1,1,3,1,1,0,2,1,2,0,2,0,1,2,1,2,2,0,2,0,1,3,1,2,1,3,2,2,0,2,2,2,2,3,2,3,3,2,0,0,1,0,1,2,2,2,0,2,2,3,2,2,2,2,2,0,2,2,2,2,3,2,2,0,0,2,1,3,1,1,4,1,0,1,1,1,3,3,3,2,1,3,0,0,1,2,3,0,2,3,1,1,0,3,1,1,4,2,2,1,2,3,2,2,0,2,2,0,2,3,2,0,2,3,1,1,0,4,2,2,1,1,0,0,3,2,2,1,1,3,1,3,0,2,0,3,2,0,2,1,2,3,0,1,2,2,4,2,2,4,2,1,4,2,2,4,4,2,0,2,1,1,3,2,2,0,3,2,2,1,0,4,1,2,1,0,2,0,3,1,1,2,1,1,1,4,2,2,3,2,2,2,2,2,1,1,0,3,2,1,2,1,0,2,1,1,2,1,1,3,2,2,2
ivy,0,17,17,0,12,13,19,17,19,7,19,19,10,11,18,18,5,15,0,18,18,19,0,14,19,5,10,14,0,16,15,15,0,10,14,12,16,11,13,9,19,18,14,19,0,21,17,14,18,14,0,0,0,0,15,19,16,18,17,5,0,15,17,16,19,19,18,13,5,0,17,17,18,17,0,14,8,8,12,20,15,17,11,0,0,19,17,20,18,1,19,18,17,15,16,0,18,14,20,19,21,19,12,3,13,0,0,19,18,0,14,0,16,15,0,19,16,0,19,0,21,0,15,7,21,13,5,19,1,19,16,11,17,16,20,12,15,9,0,10,0,0,18,16,15,17,11,15,19,14,17,18,10,18,15,14,0,17,19,17,0,0,18,0,0,20,10,7,19,16,13,17,0,15,20,16,16,12,14,14,17,13,1,0,19,18,18,0,20,12,17,15,0,15,21,19,0,0,0,20,20,0,5,16,0,18,0,0,15,13,17,0,14,16,3,19,0,13,0,6,19,20,15,5,0,5,17,19,0,0,13,13,0,17,0,7,0,6,20,20,10,18,0,18,0,14,14,15,17,0,0,0,13,18,19,0,15,17,0,19,15,18,20,16,20,2,19,18,16,15,14,16,17,15,15,0,20,13,11,22,0,0,0,12,14,15,15,11,0,16,19,18,6,14,0,0,0,0,17,19,10,12,9,13,17,21,13,18,18,16,14,4,19
joz,0,8,8,0,7,8,10,9,9,0,9,10,6,0,9,8,0,8,4,8,8,10,3,8,10,0,6,9,7,5,9,9,0,0,5,4,8,5,7,5,11,8,0,9,0,11,10,9,9,5,5,0,0,2,6,8,9,9,8,0,3,7,9,7,9,9,10,6,1,0,10,10,9,7,0,6,2,5,8,9,7,8,7,0,0,10,9,10,11,8,10,8,8,7,8,6,9,9,9,10,9,10,7,6,6,0,8,9,10,2,6,2,9,7,0,8,9,0,9,0,10,4,8,0,9,7,8,10,4,9,7,7,8,8,10,6,9,5,0,7,0,0,9,8,9,9,6,7,10,8,7,11,3,9,9,7,4,8,9,8,7,5,10,0,1,9,5,4,8,9,8,10,1,6,10,5,9,9,6,7,8,9,0,0,10,8,8,0,11,7,8,7,1,9,11,10,6,10,0,10,9,5,4,5,0,10,10,0,7,8,8,2,0,8,2,11,4,6,6,0,9,9,6,0,0,7,9,10,2,8,7,8,0,10,1,10,6,0,10,11,0,10,0,9,4,0,0,7,8,7,5,0,8,9,10,0,8,8,3,10,7,8,11,8,11,0,12,9,8,8,7,11,5,7,7,0,10,4,5,12,5,3,0,7,8,9,8,0,0,6,10,10,4,7,0,3,0,8,11,10,7,0,5,6,8,9,6,9,9,7,8,0,8
kqv,0,15,15,6,14,14,17,19,21,5,21,17,4,9,20,16,0,13,0,20,16,21,10,16,21,0,0,16,12,14,0,16,4,8,13,10,14,13,12,11,21,16,12,17,0,22,14,13,16,15,7,0,0,0,17,21,17,16,15,0,0,17,19,18,17,21,17,14,0,0,19,19,16,15,0,12,9,0,10,16,14,15,0,0,0,21,19,17,0,1,21,16,15,17,18,0,16,12,21,17,22,21,6,3,11,0,0,21,16,3,12,0,15,13,3,15,14,1,17,3,23,7,13,8,18,15,14,20,7,17,14,0,19,14,18,11,13,0,0,14,9,0,20,13,19,15,1,17,21,0,15,21,0,16,13,16,0,15,21,19,14,0,20,0,0,16,11,0,15,18,12,7,0,13,22,14,14,15,12,16,15,12,1,0,21,16,16,2,18,14,19,13,0,13,23,17,13,19,0,18,21,0,13,14,0,16,18,0,14,12,18,0,12,14,11,21,5,0,0,8,20,18,14,0,0,15,19,17,0,13,10,15,0,16,5,16,0,0,22,23,8,16,0,16,6,16,12,13,15,0,0,0,0,20,17,9,13,16,5,21,13,21,18,18,21,0,0,16,14,17,16,0,15,13,13,0,18,14,9,20,0,0,0,14,17,13,17,4,0,14,17,20,0,16,0,0,0,0,19,17,9,11,3,11,19,17,0,21,20,17,0,0,15
moq,0,15,15,6,14,14,17,19,21,5,21,17,4,9,20,16,0,13,0,20,16,21,10,16,21,0,0,16,12,14,0,16,4,8,13,10,14,13,12,11,21,16,12,17,0,22,14,13,16,15,7,0,0,0,17,21,17,16,15,0,0,17,19,18,17,21,17,14,0,0,19,19,16,15,0,12,9,0,10,16,14,15,0,0,0,21,19,17,0,1,21,16,15,17,18,0,16,12,21,17,22,21,6,3,11,0,0,21,16,3,12,0,15,13,3,15,14,1,17,3,23,7,13,8,18,15,14,20,7,17,14,0,19,14,18,11,13,0,0,14,9,0,20,13,19,15,1,17,21,0,15,21,0,16,13,16,0,15,21,19,14,0,20,0,0,16,11,0,15,18,12,7,0,13,22,14,14,15,12,16,15,12,1,0,21,16,16,2,18,14,19,13,0,13,23,17,13,19,0,18,21,0,13,14,0,16,18,0,14,12,18,0,12,14,11,21,5,0,0,8,20,18,14,0,0,15,19,17,0,13,10,15,0,16,5,16,0,0,22,23,8,16,0,16,6,16,12,13,15,0,0,0,0,20,17,9,13,16,5,21,13,21,18,18,21,0,0,16,14,17,16,0,15,13,13,0,18,14,9,20,0,0,0,14,17,13,17,4,0,14,17,20,0,16,0,0,0,0,19,17,9,11,3,11,19,17,0,21,20,17,0,0,15
pqu,0,12,10,2,9,5,14,12,14,0,14,15,0,6,14,12,0,9,5,13,13,12,4,10,15,0,7,6,8,10,10,11,0,5,7,8,10,7,8,5,15,11,8,15,0,15,5,10,10,7,6,3,0,3,10,12,11,14,11,2,0,8,12,12,14,14,12,9,0,0,12,12,13,12,0,8,4,0,6,13,11,12,8,1,0,14,11,14,15,1,15,11,12,9,12,8,11,0,14,13,14,14,9,10,7,0,10,14,12,0,9,0,12,10,0,12,5,0,14,0,13,0,9,0,15,8,10,14,5,14,11,8,11,11,15,9,5,0,0,8,6,0,11,0,13,12,1,9,15,0,10,12,6,13,11,10,0,11,14,12,9,0,11,2,1,12,6,0,11,10,9,13,3,5,12,10,6,10,11,8,12,0,4,2,14,13,13,1,15,8,10,10,1,11,16,12,9,11,0,15,14,0,10,9,0,11,12,0,11,9,9,0,10,9,6,14,0,10,7,0,12,15,11,0,0,9,10,14,3,10,4,10,0,12,3,13,7,4,14,16,0,13,0,13,3,9,9,10,10,8,6,3,11,11,14,7,0,10,4,15,8,11,15,12,13,0,15,13,10,9,9,12,10,9,8,0,13,10,7,15,0,5,0,4,11,0,12,9,0,9,13,13,3,8,3,3,0,11,12,15,0,8,2,0,11,14,11,12,14,10,9,0,10
