language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
glz,2,6,0,5,3,1,6,1,5,0,3,3,0,2,8,6,6,0,1,0,4,4,6,0,3,0,2,5,2,6,1,5,1,7,2,7,5,6,5,4,2,4,1,2,1,6,1,5,2,7,7,5,0,4,5,1,8,0,2,5,0,3,0,1,6,1,6,0,1,7,6,0,4,4,0,4,1,2,2,0,3,1,4,6,6,3,1,6,1,7,6,5,0,0,1,7,3,4,4,3,7,3,5,3,2,7,1,5,2,0,0,0,5,6,6,7,6,2,6,5,0,2,3,0,1,7,2,7,6,6,6,6,7,6,0,6,8,6,4,2,3,7,4,4,7,3,5,0,0,2,2,3,3,5,7,5,4,0,0,7,2,6,3,2,0,7,0,2,2,3,0,6,7,1,7,6,0,1,2,1,0,3,1,7,5,7,1,3,5,8,6,6,3,2,3,2,4,5,4,7,2,1,1,3,1,3,3,2,7,7,0,6,1,7,7,6,6,2,5,7,7,2,3,5,0,0,1,2,1,6,0,0,2,7,3,1,2,6,6,1,3,1,6,0,7,3,7,6,5,2,7,3,6,2,2,5,8,6,5,0,7,6,6,6,2,0,1,7,7,4,4,6,2,7,2,0,6,6,0,0,7,5,7,7,1,5,2,5,0,4,6,3,0,5,0,7,2,4,7,1,0,5,6,0,2,0,6,2,6,0,2,3,2
gnp,16,19,0,16,12,13,18,6,13,1,16,0,0,0,17,19,20,0,0,0,0,0,19,9,15,0,16,14,5,17,13,17,0,19,5,19,12,17,18,14,0,11,15,15,9,19,17,17,0,20,19,14,0,18,18,16,20,0,14,0,0,8,6,13,18,0,15,11,11,17,19,1,17,0,1,7,9,14,1,0,10,0,17,19,17,9,16,20,0,21,19,1,0,0,7,18,13,16,17,13,18,0,15,10,12,20,19,16,1,0,11,0,0,14,16,19,17,8,17,19,0,18,18,1,17,16,16,1,18,16,19,17,16,14,0,18,21,13,15,0,16,15,18,17,17,14,0,0,8,10,3,0,16,18,19,14,8,0,0,19,13,18,1,13,0,20,0,0,1,1,1,19,19,0,20,0,0,15,16,8,1,13,0,20,20,16,16,17,13,0,19,0,18,1,0,11,16,18,16,17,9,17,8,11,8,8,13,16,20,0,0,19,17,0,20,15,15,10,18,18,20,0,15,1,2,1,15,13,12,18,10,0,12,20,19,8,13,17,15,16,13,0,13,0,20,0,21,19,16,14,19,1,18,13,16,15,1,19,1,5,20,19,18,17,0,0,15,20,20,12,16,13,9,19,7,3,20,13,0,1,19,18,0,15,0,13,14,13,0,11,18,0,1,15,0,19,16,6,21,6,7,8,16,0,0,4,18,18,18,1,8,13,10
gqw,17,20,0,17,13,13,19,7,17,1,17,0,0,13,13,20,21,0,0,0,0,14,20,9,16,0,17,16,5,18,17,0,0,20,5,20,12,18,19,15,17,0,17,16,9,20,18,15,0,21,20,13,0,19,15,17,21,0,19,0,0,8,0,13,19,0,18,11,14,18,20,4,18,0,1,8,0,15,11,0,9,0,19,20,19,0,13,21,9,22,21,1,0,0,7,19,15,1,12,14,19,0,16,1,15,21,20,17,9,0,11,0,0,19,18,20,18,8,18,18,0,19,19,1,18,17,16,1,19,16,20,18,18,14,0,0,22,0,10,0,12,15,14,18,21,15,0,0,9,12,0,13,17,19,20,14,8,3,0,18,13,15,1,15,0,21,0,0,1,14,1,20,20,0,21,0,0,12,0,7,1,13,0,21,19,0,17,18,10,19,20,16,19,9,0,14,12,19,17,1,9,18,8,11,10,8,0,13,21,0,10,20,18,18,21,0,15,10,19,20,16,12,16,1,2,1,16,14,13,19,10,0,13,21,20,8,18,18,19,12,13,0,18,0,21,14,22,21,18,15,20,1,19,11,21,17,18,20,1,4,21,14,19,18,13,0,13,21,16,13,12,18,0,20,5,4,21,13,0,0,20,19,0,15,0,13,14,13,0,11,14,0,11,16,0,20,15,6,22,5,11,10,13,0,0,3,19,19,19,1,9,13,11
hjv,2,3,0,1,3,1,3,1,4,0,4,2,3,2,6,3,4,0,1,0,5,2,1,0,3,0,2,2,2,4,4,4,1,4,2,4,3,3,3,2,2,2,1,2,1,3,3,1,3,4,5,4,0,4,3,3,5,0,5,0,0,3,0,1,4,1,5,0,4,5,1,0,3,4,0,0,1,4,2,0,2,1,3,3,1,3,1,3,1,4,3,5,0,0,1,5,4,4,3,2,5,3,4,3,4,5,1,2,2,0,0,0,2,3,2,4,2,2,3,4,0,5,4,0,4,4,4,6,2,3,3,3,3,4,0,3,6,5,1,3,3,5,5,5,5,3,2,0,0,2,0,3,4,3,4,3,4,0,0,4,2,3,4,3,0,4,4,0,4,6,0,3,4,1,5,4,0,4,2,1,0,3,1,4,2,4,4,6,3,6,4,3,4,4,1,2,3,4,5,3,2,4,4,3,1,3,4,2,4,5,0,4,1,4,4,1,3,2,1,4,4,2,4,2,0,0,4,4,1,3,3,0,4,2,4,1,3,5,3,1,3,0,1,0,4,3,4,3,1,4,2,4,3,2,5,1,5,4,4,0,4,2,4,3,2,0,1,4,4,0,2,4,0,4,2,1,4,2,0,0,5,3,2,5,1,3,2,3,0,0,5,3,0,4,0,5,2,3,2,1,0,3,4,0,2,0,1,2,3,0,2,3,2
hnu,6,14,0,11,8,10,13,1,12,6,11,0,0,10,12,14,14,1,2,0,14,6,13,8,12,0,10,11,0,12,11,9,0,14,4,14,11,12,12,9,12,6,11,10,5,13,12,12,8,15,14,12,4,14,12,11,16,0,13,7,4,6,4,10,13,0,8,10,10,10,12,3,11,0,0,5,0,10,9,3,7,4,11,13,13,1,10,13,4,15,14,9,0,3,6,13,10,0,7,5,14,0,11,8,11,14,12,11,0,4,5,0,11,13,13,14,13,7,12,14,0,12,13,0,11,13,12,11,13,13,13,12,12,11,1,13,15,11,8,11,11,13,9,12,15,11,12,0,4,1,0,9,11,13,14,13,7,0,0,14,10,12,8,10,0,14,9,4,0,8,0,13,14,0,14,13,0,11,12,6,6,11,0,14,14,9,11,10,9,14,13,12,13,5,5,10,11,13,12,13,0,12,7,1,7,7,9,10,15,13,8,14,11,14,15,12,13,9,12,13,14,10,9,0,0,0,11,11,9,13,9,0,0,15,13,0,12,12,13,11,7,5,12,0,14,10,15,13,12,12,10,8,13,8,15,7,0,14,0,0,14,13,13,14,6,0,10,14,14,8,11,9,7,14,0,0,15,12,0,0,14,12,10,13,8,12,12,11,0,9,13,1,5,12,0,14,12,0,15,0,0,1,12,0,10,0,13,12,13,2,0,11,8
ijs,11,15,0,12,9,11,14,0,14,1,13,0,0,11,14,15,15,0,0,0,15,10,15,10,1,0,12,12,6,13,14,13,0,15,6,15,0,14,14,10,13,9,13,11,8,15,13,13,11,16,15,0,6,15,14,13,0,0,15,0,0,0,5,11,14,0,14,1,12,14,14,1,13,0,6,0,0,11,10,0,1,6,14,15,14,8,11,15,0,16,15,11,0,0,0,15,1,13,13,0,15,0,12,1,0,16,14,12,6,0,10,0,13,15,14,15,0,1,14,15,0,14,15,1,12,15,13,12,14,15,15,13,0,13,0,14,17,12,11,12,13,14,15,13,16,0,13,0,5,9,0,10,12,14,15,15,1,0,1,15,11,13,9,11,0,16,10,7,1,1,1,15,15,0,15,0,0,13,13,0,11,12,0,15,15,14,12,14,11,15,15,13,14,8,6,12,13,14,13,1,10,13,0,0,9,9,12,11,16,14,0,15,13,15,16,13,14,0,14,14,15,11,12,1,0,1,12,0,10,14,11,0,10,16,14,9,14,13,14,13,12,9,14,1,16,11,17,15,13,13,15,1,14,9,17,14,14,15,8,1,16,15,14,15,11,0,11,16,15,0,13,14,0,15,0,0,16,14,5,0,15,13,14,14,9,14,13,12,0,1,15,8,1,13,0,15,14,7,16,0,8,0,14,0,11,0,15,14,14,10,7,12,9
ijv,0,0,0,0,2,0,0,1,1,0,0,1,1,1,3,0,0,0,1,0,1,1,0,1,2,0,0,1,1,0,0,3,0,1,1,0,2,0,0,1,1,1,0,2,2,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,0,1,0,0,0,1,1,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,1,2,0,0,2,0,1,1,1,2,2,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,2,2,1,2,0,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,0,0,2,1,0,1,1,0,2,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,0,2,1,0,1,0,1,0,2,0,1,1,2,0,0,1,1,0,0,1,2,0,0,1,2,0,1,1,0,1,1,1,0,0,1,0,2,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,4,0,2,2,1,1,0,2,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,2,0,1,0,0,3,0,2,0,2,0,0,1,1,0,0,1,2,1,0,1,0,0,1,0,3,1,0,0
irs,4,5,0,4,3,1,5,1,0,0,3,2,0,2,2,5,5,0,1,0,7,2,5,0,3,0,2,5,2,5,1,6,1,6,2,6,3,5,5,2,5,2,5,2,1,5,1,4,4,6,6,3,0,6,5,4,9,0,2,0,2,3,3,1,3,1,3,4,1,4,5,0,1,4,0,0,1,2,2,0,3,1,3,5,5,3,1,5,1,8,7,6,0,0,1,6,3,7,1,2,4,3,4,3,2,6,5,2,2,0,0,0,2,5,5,6,2,2,5,6,0,2,6,0,1,6,5,7,5,5,5,5,6,6,3,3,3,5,1,5,5,6,6,6,2,3,2,0,0,2,2,3,3,6,6,6,4,0,0,6,2,5,3,2,0,6,0,0,2,7,0,5,6,1,2,3,0,5,6,3,3,3,1,6,7,6,1,7,3,5,5,7,5,2,1,4,3,3,4,6,3,1,1,3,1,3,5,2,6,2,0,7,1,6,6,1,5,2,4,6,6,4,5,2,0,0,5,2,1,5,0,0,2,6,6,4,4,2,5,4,3,0,5,0,6,3,6,5,4,2,6,3,5,3,7,4,5,4,3,0,6,5,1,5,2,0,1,6,6,0,3,1,0,6,2,0,7,2,0,0,2,5,6,6,1,1,6,1,0,0,2,3,0,1,0,6,5,0,6,3,0,3,5,0,2,2,5,2,5,0,2,3,2
irt,5,7,0,6,0,4,7,1,6,3,5,0,0,4,9,7,7,0,1,0,8,5,7,3,0,0,4,6,0,7,5,7,0,8,3,8,6,7,6,5,6,0,6,5,4,7,5,6,5,8,8,6,3,7,6,5,10,0,7,6,1,1,0,4,7,0,7,5,5,8,7,0,5,6,0,0,4,5,4,1,4,2,5,7,7,5,5,7,3,9,8,7,1,2,4,8,6,8,5,4,8,5,6,4,5,8,6,6,3,0,3,0,6,7,7,8,7,6,7,7,0,7,7,0,5,8,6,8,7,7,7,7,1,0,4,7,9,7,5,6,6,8,7,7,8,6,6,0,0,5,0,0,6,7,8,7,0,0,0,8,5,7,0,4,0,8,0,3,0,0,0,7,8,3,8,7,0,6,7,4,4,5,0,8,8,8,5,8,0,9,7,8,6,0,0,5,5,6,7,0,4,6,5,6,4,5,6,5,8,8,4,8,5,8,8,7,7,0,6,8,8,5,6,6,0,0,6,5,4,7,4,0,5,8,7,5,5,7,7,5,5,2,7,0,8,5,9,7,6,5,8,5,7,4,8,6,9,7,0,0,8,7,7,7,5,0,4,8,8,0,5,7,3,8,0,0,8,7,0,0,8,6,8,8,5,6,7,6,0,5,7,1,0,6,0,8,6,5,8,0,4,1,7,0,5,0,7,6,7,2,4,5,4
kos,8,10,0,8,4,8,10,1,8,5,8,0,0,9,0,10,10,0,1,0,10,8,10,5,10,0,7,9,3,9,9,10,0,11,0,11,7,9,9,7,10,0,8,8,6,10,8,8,6,10,11,9,4,10,9,8,13,0,10,8,1,1,0,7,9,0,12,8,8,11,9,2,8,0,0,0,0,7,6,4,0,0,7,9,10,1,7,9,4,13,12,10,0,5,1,10,9,10,9,7,10,0,9,6,9,11,10,8,5,0,6,0,8,10,12,11,11,0,9,9,0,9,11,3,7,10,8,0,11,10,10,9,9,9,1,9,11,8,7,8,8,10,11,9,11,8,10,0,3,1,0,6,8,10,10,10,6,0,0,11,0,9,5,7,0,11,7,4,0,10,0,10,11,5,12,9,0,8,9,5,8,8,3,11,11,11,9,11,6,11,10,1,9,7,0,8,8,9,9,9,6,9,2,10,6,0,10,7,12,10,6,12,9,10,11,10,10,8,10,10,11,8,8,8,0,0,8,7,6,10,5,0,8,11,11,7,9,9,9,8,8,6,9,0,11,7,12,9,8,9,12,0,9,5,11,10,11,11,7,0,11,9,11,11,7,0,8,11,10,6,8,10,5,11,0,0,10,9,2,0,12,9,11,10,7,8,8,8,0,7,10,5,7,9,0,11,9,0,12,0,0,1,9,0,7,0,9,10,11,8,0,9,5
lnu,2,2,0,3,3,3,2,1,0,0,2,2,0,2,5,1,2,0,1,0,3,2,3,2,5,0,2,4,2,2,3,4,1,2,2,3,3,2,2,2,4,3,3,4,1,2,1,1,2,3,3,2,2,5,2,1,4,0,4,3,0,4,2,1,2,1,4,0,3,3,3,0,1,1,3,0,3,2,2,0,2,1,2,2,3,3,3,2,1,3,1,5,0,0,1,4,3,6,1,2,3,4,4,3,2,4,3,3,2,2,2,0,2,2,2,3,4,4,2,2,0,4,2,0,3,2,2,5,4,2,2,2,5,3,0,5,5,4,3,2,2,3,2,3,4,5,4,0,0,2,0,4,2,2,3,1,3,0,0,3,4,2,3,2,0,3,3,0,2,5,2,2,3,2,4,3,0,1,4,1,0,3,1,3,4,3,3,5,2,3,2,5,1,2,1,3,2,1,2,4,2,3,3,4,3,4,3,4,3,4,3,3,3,3,3,4,2,2,1,3,3,2,3,2,0,0,3,2,2,2,2,0,2,4,2,1,2,4,2,3,4,0,3,0,2,3,3,2,3,2,4,3,2,2,4,3,6,3,3,0,3,4,3,1,4,2,1,3,3,3,1,3,0,3,2,0,3,4,0,0,4,1,4,2,1,1,4,2,0,0,4,3,0,1,0,3,4,2,4,1,3,3,3,1,4,0,1,4,2,0,2,2,2
npw,14,17,0,14,11,14,16,6,13,7,12,0,0,0,13,17,16,0,0,0,16,12,17,11,13,0,15,13,5,15,15,15,0,17,5,17,12,16,16,13,14,0,14,12,7,17,16,14,12,18,17,13,8,16,16,14,19,0,17,0,0,7,0,12,16,0,0,11,11,16,17,1,14,0,7,0,0,12,1,0,8,0,15,17,15,0,14,18,7,19,17,1,0,0,7,17,11,14,15,12,16,0,1,9,14,18,17,13,7,0,0,0,14,17,15,17,15,1,15,16,0,16,14,1,15,14,0,13,16,18,16,15,15,12,0,16,0,0,13,13,12,16,16,15,19,12,14,0,0,8,0,12,14,16,17,14,8,2,0,17,12,14,1,12,0,18,0,0,1,12,1,17,17,0,18,15,0,14,0,0,13,0,0,18,17,15,14,0,12,17,17,15,15,1,0,13,15,16,0,15,9,15,9,12,8,10,0,14,18,16,0,17,15,17,18,0,17,0,17,15,18,0,14,1,1,1,13,0,11,16,10,0,11,18,17,11,16,14,17,14,0,0,16,0,18,13,19,17,14,0,17,9,15,12,19,16,16,16,1,4,17,17,16,0,12,0,14,18,18,11,12,15,0,16,6,0,18,16,0,0,17,16,15,0,10,13,0,15,0,12,16,0,10,14,0,17,0,6,18,0,7,8,13,0,0,3,17,16,16,1,6,15,1
orw,1,0,0,0,2,0,0,1,2,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,2,0,1,0,1,0,0,2,0,0,1,1,2,0,0,1,1,1,0,2,2,0,0,0,1,1,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,2,2,0,3,0,1,0,1,2,2,1,0,0,0,0,1,1,0,1,0,1,0,1,3,0,0,0,1,0,0,0,1,1,2,1,0,0,0,2,1,2,1,2,2,0,1,0,2,0,1,1,2,1,0,0,3,1,1,0,0,1,0,2,1,0,1,1,0,2,0,0,1,1,1,2,2,0,0,1,0,0,1,0,2,1,0,2,1,0,0,1,1,0,2,0,2,0,2,0,0,1,1,0,0,1,2,0,0,1,2,0,1,1,1,0,1,1,1,0,1,1,2,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,1,0,0,1,1,2,0,1,1,0,2,1,2,2,0,0,0,2,1,0,2,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,3,0,1,0,0,3,1,2,0,0,0,1,1,1,1,0,1,2,0,0,1,0,2,1,0,3,1,0,0
stv,6,13,0,11,8,10,13,1,12,6,11,0,0,10,11,13,13,1,2,0,13,6,14,7,12,0,11,11,0,12,12,9,0,14,4,14,11,12,13,9,12,6,12,10,5,14,11,12,8,14,14,12,4,9,12,11,16,0,13,7,4,6,4,10,13,0,8,10,7,10,13,3,12,0,0,5,0,10,9,3,0,5,12,14,13,1,10,14,4,15,14,9,0,3,6,13,10,0,7,5,14,0,11,8,11,15,13,11,0,4,9,0,12,13,13,14,13,7,13,13,0,13,13,0,11,13,12,11,13,14,14,12,12,11,1,13,16,11,8,11,11,13,9,12,14,11,12,0,4,1,0,9,11,13,13,13,7,0,0,14,10,12,8,9,0,15,5,4,0,8,0,14,14,0,14,13,0,11,12,6,6,6,0,14,14,9,11,10,0,14,14,12,12,5,5,10,11,12,12,13,0,12,2,1,7,7,9,10,14,13,8,14,12,13,14,12,13,9,13,13,14,10,9,0,0,0,11,11,9,13,9,0,0,14,13,0,11,12,13,11,7,5,12,0,15,10,16,14,12,11,10,8,13,8,14,7,0,13,0,0,15,13,13,13,6,0,10,15,13,8,11,9,7,14,0,0,14,12,0,0,14,12,10,13,8,12,12,11,0,9,13,1,9,12,0,14,13,0,14,0,0,1,12,0,10,0,13,13,13,2,0,11,8
tvy,7,8,0,7,5,5,8,4,7,0,6,0,0,6,10,8,8,0,1,0,9,7,8,4,7,0,6,7,0,8,6,8,0,9,0,9,8,8,7,6,7,5,7,6,0,8,6,7,7,9,9,7,4,8,7,6,11,0,8,0,1,5,0,5,8,0,9,6,6,9,8,0,6,0,4,0,5,6,5,2,0,3,6,8,8,6,6,8,5,10,9,8,0,4,1,9,7,9,6,6,9,0,7,5,6,9,7,7,4,0,4,0,7,8,8,9,8,0,8,8,0,8,8,0,6,9,7,9,8,8,8,8,8,7,5,8,10,1,6,7,7,9,8,8,9,7,7,0,2,1,0,5,7,8,9,8,0,0,0,9,6,8,0,6,2,9,6,5,0,0,0,8,9,4,9,8,0,7,8,5,5,7,0,9,9,10,6,9,0,10,8,9,7,0,0,6,6,7,8,8,5,7,6,7,5,0,7,6,9,9,5,9,6,9,9,8,8,5,7,9,9,6,7,7,0,3,7,6,5,8,6,0,6,9,8,6,6,8,8,6,6,3,8,0,9,6,10,8,7,7,9,6,8,0,9,8,10,8,6,0,9,8,8,8,6,0,5,9,9,5,6,8,4,9,4,2,9,8,0,0,9,7,9,9,6,7,9,7,0,6,8,1,3,7,0,9,7,0,9,4,5,6,8,0,6,0,8,7,8,6,0,6,0
uvz,15,18,0,15,1,15,17,6,16,1,15,0,0,0,16,18,19,0,0,0,17,13,18,9,14,0,14,15,5,16,16,16,0,18,5,18,12,13,17,11,16,10,15,14,9,18,14,16,0,19,18,13,9,17,17,15,17,0,18,0,0,9,0,14,17,0,17,11,13,15,18,1,15,10,1,0,0,13,1,0,9,0,13,18,16,0,15,19,8,20,18,1,0,0,8,14,12,15,16,11,17,7,13,1,12,19,18,14,8,0,12,0,0,18,17,18,16,8,16,17,1,17,17,4,16,14,14,1,17,19,18,16,13,14,0,17,20,0,14,0,15,15,17,16,20,13,0,0,7,10,0,0,15,17,18,17,8,0,0,16,13,17,1,14,0,19,11,0,1,13,1,18,18,0,19,0,0,12,15,7,1,13,0,19,18,0,15,15,10,18,18,0,17,1,0,11,12,17,15,16,9,16,8,11,8,11,0,15,19,0,9,18,16,0,19,14,18,10,16,17,19,0,1,1,2,1,14,12,12,17,12,0,0,19,18,8,17,16,18,15,14,10,17,0,19,0,20,18,15,0,18,1,17,11,20,15,17,17,1,4,18,18,17,16,0,0,13,19,19,10,15,17,8,18,5,0,19,17,0,0,18,17,16,16,0,16,14,13,0,11,17,0,1,15,0,18,15,6,19,5,10,8,13,0,12,3,14,17,17,1,6,16,1
