ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
1	Miyako	I	ban	b.a.n	b a n		1
2	Tokyo	I	watasi	w.a.t.a.s.i	w a t a s i		2
3	Amami	I	waɴ	w.a.ɴ	w a ɴ		1
4	Kyoto	I	wate	w.a.t.e	w a t e		2
5	Hachijo	I	ware	w.a.r.e	w a r e		1
6	Shuri	I	waɴ	w.a.ɴ	w a ɴ		1
7	Kochi	I	asi	a.s.i	a s i		2
8	Sado	I	ore	o.r.e	o r e		3
9	Oki	I	ora	o.r.a	o r a		3
10	Kagoshima	I	oiː	oiː	o iː		3
1957	Miyako	alive (live)	nːuʦɨduaɭ	nː.u.ʦ.ɨ.d.ua.ɭ	nː u ts ɨ d u a ɭ		454
1958	Tokyo	alive (live)	ikiteru	i.k.i.t.e.r.u	i k i t e r u		455
1959	Amami	alive (live)	ʔikiʨuri	ʔ.i.k.i.ʨ.u.r.i	ʔ i k i tɕ u r i		455
1960	Kyoto	alive (live)	ikiteru	i.k.i.t.e.r.u	i k i t e r u		455
1961	Hachijo	alive (live)	ikite	i.k.i.t.e	i k i t e		455
1962	Shuri	alive (live)	ʔiʨiʦoːɴ	ʔ.i.ʨ.i.ʦ.oː.ɴ	ʔ i tɕ i ts oː ɴ		455
1963	Kochi	alive (live)	ikitʲuː	i.k.i.tʲ.uː	i k i tʲ uː		455
1964	Sado	alive (live)	ikitoru	i.k.i.t.o.r.u	i k i t o r u		455
1965	Oki	alive (live)	ekeʨoru	e.k.e.ʨ.o.r.u	e k e tɕ o r u		455
1966	Kagoshima	alive (live)	ikiːʨːo	i.k.iː.ʨː.o	i k iː tɕː o		455
81	Miyako	all	mːna	mː.n.a	mː n a		24
82	Tokyo	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24
83	Amami	all	ʔaɴxaːri	ʔ.a.ɴ.x.aː.r.i	ʔ a ɴ x aː r i		26
84	Kyoto	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24
85	Hachijo	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24
86	Shuri	all	ɴna	ɴ.n.a	ɴ n a		24
87	Kochi	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24
88	Sado	all	miɴna	m.i.ɴ.n.a	m i ɴ n a		24
89	Oki	all	ɴːna	ɴː.n.a	ɴː n a		24
90	Kagoshima	all	sukːai	s.u.kː.ai	s u kː a i		25
1268	Miyako	arm	udi	u.d.i	u d i		289
1269	Tokyo	arm	ude	u.d.e	u d e		289
1270	Amami	arm	xeːnʲa	x.eː.nʲ.a	x eː nʲ a		291
1271	Kyoto	arm	teː	t.eː	t eː		290
1272	Hachijo	arm	ude	u.d.e	u d e		289
1273	Shuri	arm	tiː	t.iː	t iː		290
1274	Kochi	arm	ude	u.d.e	u d e		289
1275	Sado	arm	ude	u.d.e	u d e		289
1276	Oki	arm	ode	o.d.e	o d e		289
1277	Kagoshima	arm	te	t.e	t e		290
820	Miyako	ash	pazɨ	p.a.z.ɨ	p a z ɨ		185
821	Tokyo	ash	hai	h.ai	h a i		185
822	Amami	ash	hwe	h.w.e	h w e		185
823	Kyoto	ash	hai	h.ai	h a i		185
824	Hachijo	ash	hia	h.ia	h i a		185
825	Shuri	ash	hweː	h.w.eː	h w eː		185
826	Kochi	ash	hai	h.ai	h a i		185
827	Sado	ash	hai	h.ai	h a i		185
828	Oki	ash	ɸeː	ɸ.eː	ɸ eː		185
829	Kagoshima	ash	hei	h.ei	h e i		185
1397	Miyako	at	n	n	n		312
1398	Tokyo	at	de	d.e	d e		313
1399	Amami	at	naɴθɨ	n.a.ɴ.θ.ɨ	n a ɴ θ ɨ		313
1400	Kyoto	at	de	d.e	d e		313
1401	Hachijo	at	de	d.e	d e		313
1402	Shuri	at	uti	u.t.i	u t i		313
1403	Kochi	at	de	d.e	d e		313
1404	Sado	at	de	d.e	d e		313
1405	Oki	at	de	d.e	d e		313
1406	Kagoshima	at	de	d.e	d e		313
1249	Tokyo	back	senaka	s.e.n.a.k.a	s e n a k a		283
1250	Amami	back	xusi	x.u.s.i	x u s i		284
1251	Kyoto	back	senaka	s.e.n.a.k.a	s e n a k a		283
1252	Hachijo	back	hedaka	h.e.d.a.k.a	h e d a k a		282
1253	Shuri	back	nagani	n.a.g.a.n.i	n a g a n i		285
1254	Kochi	back	senaka	s.e.n.a.k.a	s e n a k a		283
1255	Sado	back	senaka	s.e.n.a.k.a	s e n a k a		283
1256	Oki	back	sena	s.e.n.a	s e n a		283
1257	Kagoshima	back	senaka	s.e.n.a.k.a	s e n a k a		283
1641	Miyako	bad	fusaritam	f.u.s.a.r.i.t.a.m	f u s a r i t a m		379
1642	Tokyo	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379
1643	Amami	bad	kusareθa	k.u.s.a.r.e.θ.a	k u s a r e θ a		379
1644	Kyoto	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379
1645	Hachijo	bad	kusarua	k.u.s.a.r.ua	k u s a r u a		379
1646	Shuri	bad	kuʦːoːru	k.u.ʦː.oː.r.u	k u tsː oː r u		379
1647	Kochi	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379
1648	Sado	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379
1649	Oki	bad	kusatːa	k.u.s.a.tː.a	k u s a tː a		379
1650	Kagoshima	bad	kesːareta	k.e.sː.a.r.e.t.a	k e sː a r e t a		379
231	Miyako	bark (of tree)	kaː	k.aː	k aː		65
